population,unemployed,shape,year,district,districtNumber,foreigners,births
82362.7,2344.5,gesamt,2009,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,15647,799
39782.7,2009,gesamt,2009,Berg am Laim,14,10579,427
28592.6,675,gesamt,2009,Allach-Untermenzing,23,4480,300
65049.3,1924.3,gesamt,2009,Pasing,21,10792,668
76669.6,1846.5,gesamt,2009,Bogenhausen,13,13628,744
55094.3,2752.5,gesamt,2009,Feldmoching-Hasenbergl,24,14265,571
48200.7,345.8,gesamt,2009,Moosach,1,3925,499
48200.7,2424.3,gesamt,2009,Moosach,1,3925,499
19053.4,345.8,gesamt,2009,Altstadt-Lehel,1,3925,221
19053.4,2424.3,gesamt,2009,Altstadt-Lehel,1,3925,221
48400.3,1299,gesamt,2009,Maxvorstadt,3,10888,516
47977.2,2157.8,gesamt,2009,Obergiesing - Fasangarten,17,13407,531
67726,4007.3,gesamt,2009,Milbertshofen - Am Hart,11,23683,755
103510.5,6353.8,gesamt,2009,Ramersdorf - Perlach,16,28340,1018
55463.9,1686.5,gesamt,2009,Au-Haidhausen,5,11765,734
27721.7,1411.8,gesamt,2009,Schwanthalerhöhe,8,9358,334
48947.2,1829.3,gesamt,2009,Untergiesing - Harlaching,18,9263,463
61895.9,1543.8,gesamt,2009,Schwabing-West,4,12181,681
38089.3,1770.8,gesamt,2009,Sendling,6,9250,467
87206.6,2639.8,gesamt,2009,Neuhausen-Nymphenburg,9,18147,962
48200.7,345.8,gesamt,2009,Moosach,1,12679,499
48200.7,2424.3,gesamt,2009,Moosach,1,12679,499
19053.4,345.8,gesamt,2009,Altstadt-Lehel,1,12679,221
19053.4,2424.3,gesamt,2009,Altstadt-Lehel,1,12679,221
51142.3,2074.5,gesamt,2009,Laim,25,11059,472
59836.3,1825.8,gesamt,2009,Trudering-Riem,15,10321,721
63646.2,2037.3,gesamt,2009,Schwabing - Freimann,12,14013,573
68660,4240.8,gesamt,2010,Milbertshofen - Am Hart,11,24373,694
88545.1,2713,gesamt,2010,Neuhausen-Nymphenburg,9,18464,999
82915.2,2564,gesamt,2010,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,16467,829
65644,2038.3,gesamt,2010,Pasing,21,11221,671
61898.8,1947.3,gesamt,2010,Trudering-Riem,15,11078,742
40039.8,2169.8,gesamt,2010,Berg am Laim,14,10960,436
27873.2,1430.8,gesamt,2010,Schwanthalerhöhe,8,9286,307
62237.3,1562.8,gesamt,2010,Schwabing-West,4,12481,685
46777.9,1965.3,gesamt,2010,Ludwigsvorstadt-Isarvorstadt,10,10076,529
46777.9,1695.3,gesamt,2010,Ludwigsvorstadt-Isarvorstadt,10,10076,529
46533.9,1965.3,gesamt,2010,Hadern,2,10076,429
46533.9,1695.3,gesamt,2010,Hadern,2,10076,429
28979.3,748.5,gesamt,2010,Allach-Untermenzing,23,4639,249
55646.2,2916,gesamt,2010,Feldmoching-Hasenbergl,24,15015,552
38312,1811,gesamt,2010,Sendling,6,9344,456
48603.5,1269.5,gesamt,2010,Maxvorstadt,3,10865,496
38540.2,1485.5,gesamt,2010,Aubing - Lochhausen - Langwied,22,7574,386
19045.7,350.5,gesamt,2010,Altstadt-Lehel,1,4039,244
19045.7,2498.5,gesamt,2010,Altstadt-Lehel,1,4039,244
48435.1,350.5,gesamt,2010,Moosach,1,4039,506
48435.1,2498.5,gesamt,2010,Moosach,1,4039,506
55916.8,1637,gesamt,2010,Au-Haidhausen,5,11968,769
77056.7,1885.3,gesamt,2010,Bogenhausen,13,13987,796
19045.7,350.5,gesamt,2010,Altstadt-Lehel,1,12567,244
19045.7,2498.5,gesamt,2010,Altstadt-Lehel,1,12567,244
48435.1,350.5,gesamt,2010,Moosach,1,12567,506
48435.1,2498.5,gesamt,2010,Moosach,1,12567,506
