algIIRate,population,unemployed,shape,year,district,districtNumber,foreignerPercent,foreigners,birthRate,births
6.8,27873.2,1430.8,gesamt,2010,Schwanthalerhoehe,8,33.2,9286,11,307
3.4,62237.3,1562.8,gesamt,2010,Schwabing-West,4,19.9,12481,11,685
4,28979.3,748.5,gesamt,2010,Allach-Untermenzing,23,15.9,4639,8.6,249
8.1,55646.2,2916,gesamt,2010,Feldmoching-Hasenbergl,24,26.8,15015,9.9,552
6.4,38312,1811,gesamt,2010,Sendling,6,24.2,9344,11.9,456
3.3,48603.5,1269.5,gesamt,2010,Maxvorstadt,3,22.2,10865,10.2,496
6.1,38540.2,1485.5,gesamt,2010,Aubing-Lochhausen-Langwied,22,19.5,7574,10,386
3.9,55916.8,1637,gesamt,2010,Au-Haidhausen,5,21.2,11968,13.8,769
3.7,77056.7,1885.3,gesamt,2010,Bogenhausen,13,18,13987,10.3,796
5.4,49169,1839.5,gesamt,2010,Untergiesing-Harlaching,18,19.3,9574,9.8,484
9.6,104150.2,6612,gesamt,2010,Ramersdorf-Perlach,16,28,29308,9.4,984
7.4,52260.3,2679,gesamt,2010,Sendling-Westpark,7,23.3,12220,9.2,482
5.9,51521.8,2130,gesamt,2010,Laim,25,21.9,11356,9.7,500
4.4,64319.6,2054.8,gesamt,2010,Schwabing-Freimann,12,22.5,14672,10,641
6.6,48434.4,2302.5,gesamt,2010,Obergiesing-Fasangarten,17,27.9,13665,10.3,500
6,38770.6,1741.5,gesamt,2011,Sendling,6,24.8,9678,12,467
4,65933.2,1932,gesamt,2011,Schwabing-Freimann,12,23.3,15521,9.7,638
4,90657.1,2634.3,gesamt,2011,Neuhausen-Nymphenburg,9,21.5,19848,12,1092
7.5,56775.2,2789.5,gesamt,2011,Feldmoching-Hasenbergl,24,27.4,15689,9,513
3.5,78391.7,1830.8,gesamt,2011,Bogenhausen,13,18.8,14913,9.3,731
8.4,69638.4,4169.3,gesamt,2011,Milbertshofen-Am Hart,11,36.2,25517,10.7,743
3,49183.9,1196,gesamt,2011,Maxvorstadt,3,22.9,11356,9.9,489
3,63130.3,1367.3,gesamt,2011,Schwabing-West,4,20.2,12882,10.7,678
5.1,49986.7,1744.8,gesamt,2011,Untergiesing-Harlaching,18,20.2,10179,9.5,476
5.7,52338.4,2081.3,gesamt,2011,Laim,25,22.8,12009,10.4,543
9.1,105297.5,6394,gesamt,2011,Ramersdorf-Perlach,16,28.8,30494,9.5,997
6.2,49897.6,2252,gesamt,2011,Obergiesing-Fasangarten,17,28.6,14509,10.9,543
4.6,84440.6,2553.3,gesamt,2011,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,20.9,17844,10.2,864
4.5,67185.4,1997.8,gesamt,2011,Pasing-Obermenzing,21,17.7,12014,11.3,758
6,39353.2,1489,gesamt,2011,Aubing-Lochhausen-Langwied,22,20.3,8078,9.7,380
3.7,56842.3,1558.3,gesamt,2011,Au-Haidhausen,5,21.7,12423,13.2,750
3.8,29423,739.8,gesamt,2011,Allach-Untermenzing,23,16.6,4933,9.7,286
7.4,40903.5,2130.8,gesamt,2011,Berg am Laim,14,27.5,11358,11.7,480
7.2,52849.6,2624.8,gesamt,2011,Sendling-Westpark,7,24.2,12907,10.3,544
6.3,28241.3,1345.8,gesamt,2011,Schwanthalerhoehe,8,33.5,9603,12.4,351
5.1,64222,2198.5,gesamt,2011,Trudering-Riem,15,18.7,12173,11.5,738
5.1,65354,2209,gesamt,2012,Trudering-Riem,15,18.9,12466,10.8,704
4.4,86454.8,2465,gesamt,2012,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,21.7,18895,10,868
7.2,41789.8,2126.8,gesamt,2012,Berg am Laim,14,28.2,11933,11.7,489
3.4,58016.1,1479,gesamt,2012,Au-Haidhausen,5,22.2,13049,13.3,770
6.7,53914.5,2507.3,gesamt,2012,Sendling-Westpark,7,25.4,13829,10.4,562
5.7,51057.2,2133.8,gesamt,2012,Obergiesing-Fasangarten,17,29.1,14909,10.8,551
5.6,39315.6,1654,gesamt,2012,Sendling,6,25.5,10088,12.2,479
3.7,30031.3,732.8,gesamt,2012,Allach-Untermenzing,23,17.8,5396,10.2,306
3.2,80219.3,1707.8,gesamt,2012,Bogenhausen,13,20,16166,9.3,749
4.2,68650.8,1926.5,gesamt,2012,Pasing-Obermenzing,21,18.6,12882,10.4,711
2.9,64336.3,1375.8,gesamt,2012,Schwabing-West,4,20.8,13462,11,707
8,71505.6,4096.3,gesamt,2012,Milbertshofen-Am Hart,11,37.5,27197,10.5,749
7.2,57770.7,2735.8,gesamt,2012,Feldmoching-Hasenbergl,24,28.4,16556,10.4,600
2.8,50127.3,1141.8,gesamt,2012,Maxvorstadt,3,24,12225,10.6,533
4.8,50833.5,1677.5,gesamt,2012,Untergiesing-Harlaching,18,20.8,10649,10.2,516
3.9,93601.6,2629.3,gesamt,2012,Neuhausen-Nymphenburg,9,22.4,21126,12.1,1133
3.9,67569.4,1919.3,gesamt,2012,Schwabing-Freimann,12,24.2,16605,10.3,698
5.3,52997.4,1981.8,gesamt,2012,Laim,25,23.8,12675,9.7,514
8.6,106715.9,6077.5,gesamt,2012,Ramersdorf-Perlach,16,29.7,31778,9.2,980
6.1,29153.2,1361.8,gesamt,2012,Schwanthalerhoehe,8,33.4,9814,12.7,371
5.8,40444.4,1502.3,gesamt,2012,Aubing-Lochhausen-Langwied,22,21.4,8806,10,403
2.8,65247.2,1347.3,gesamt,2013,Schwabing-West,4,21.4,14115,11.6,756
6.1,29478.1,1362,gesamt,2013,Schwanthalerhoehe,8,33.6,9974,11.3,333
5.8,41794.4,1566,gesamt,2013,Aubing-Lochhausen-Langwied,22,22.3,9435,11.2,467
4.9,51553,1731,gesamt,2013,Untergiesing-Harlaching,18,21.9,11400,11.4,588
7.7,72957.9,4053.3,gesamt,2013,Milbertshofen-Am Hart,11,38.4,28243,10.5,765
5.1,66605.1,2268,gesamt,2013,Trudering-Riem,15,19.4,13023,11,735
5.4,39752.8,1601.3,gesamt,2013,Sendling,6,26,10386,12.3,487
5.6,50934.8,2061.5,gesamt,2013,Obergiesing-Fasangarten,17,29.2,15047,12.5,638
3.2,81399.5,1722,gesamt,2013,Bogenhausen,13,20.9,17126,10.3,835
8.3,107656.2,5939,gesamt,2013,Ramersdorf-Perlach,16,30.4,32946,9.4,1011
